1 episode, score = 3.0
2 episode, score = 1.0
3 episode, score = 1.0
4 episode, score = 2.0
5 episode, score = 0.0
6 episode, score = 1.0
7 episode, score = 2.0
8 episode, score = 1.0
9 episode, score = 1.0
10 episode, score = 1.0
11 episode, score = 4.0
12 episode, score = 2.0
13 episode, score = 1.0
14 episode, score = 2.0
15 episode, score = 0.0
16 episode, score = 0.0
17 episode, score = 2.0
18 episode, score = 2.0
19 episode, score = 2.0
20 episode, score = 0.0
21 episode, score = 0.0
22 episode, score = 0.0
23 episode, score = 1.0
24 episode, score = 0.0
25 episode, score = 0.0
26 episode, score = 4.0
27 episode, score = 2.0
28 episode, score = 3.0
29 episode, score = 2.0
30 episode, score = 1.0
31 episode, score = 1.0
32 episode, score = 1.0
33 episode, score = 2.0
34 episode, score = 3.0
35 episode, score = 2.0
36 episode, score = 1.0
37 episode, score = 0.0
38 episode, score = 0.0
39 episode, score = 5.0
40 episode, score = 1.0
41 episode, score = 4.0
42 episode, score = 1.0
43 episode, score = 0.0
44 episode, score = 0.0
45 episode, score = 3.0
46 episode, score = 1.0
47 episode, score = 1.0
48 episode, score = 2.0
49 episode, score = 0.0
50 episode, score = 2.0
51 episode, score = 1.0
52 episode, score = 0.0
53 episode, score = 0.0
54 episode, score = 0.0
55 episode, score = 0.0
56 episode, score = 1.0
57 episode, score = 2.0
58 episode, score = 0.0
59 episode, score = 0.0
60 episode, score = 2.0
61 episode, score = 0.0
62 episode, score = 1.0
63 episode, score = 2.0
64 episode, score = 0.0
65 episode, score = 2.0
66 episode, score = 1.0
67 episode, score = 1.0
68 episode, score = 1.0
69 episode, score = 0.0
70 episode, score = 0.0
71 episode, score = 1.0
72 episode, score = 1.0
73 episode, score = 0.0
74 episode, score = 3.0
75 episode, score = 2.0
76 episode, score = 1.0
77 episode, score = 0.0
78 episode, score = 1.0
79 episode, score = 2.0
80 episode, score = 0.0
81 episode, score = 1.0
82 episode, score = 4.0
83 episode, score = 0.0
84 episode, score = 1.0
85 episode, score = 4.0
86 episode, score = 0.0
87 episode, score = 3.0
88 episode, score = 1.0
89 episode, score = 0.0
90 episode, score = 0.0
91 episode, score = 0.0
92 episode, score = 4.0
93 episode, score = 3.0
94 episode, score = 1.0
95 episode, score = 1.0
96 episode, score = 3.0
97 episode, score = 4.0
98 episode, score = 1.0
99 episode, score = 6.0
100 episode, score = 0.0
101 episode, score = 4.0
102 episode, score = 1.0
103 episode, score = 2.0
104 episode, score = 1.0
105 episode, score = 0.0
106 episode, score = 5.0
107 episode, score = 2.0
108 episode, score = 0.0
109 episode, score = 3.0
110 episode, score = 3.0
111 episode, score = 1.0
112 episode, score = 2.0
113 episode, score = 2.0
114 episode, score = 1.0
115 episode, score = 0.0
116 episode, score = 1.0
117 episode, score = 1.0
118 episode, score = 0.0
119 episode, score = 3.0
120 episode, score = 2.0
121 episode, score = 1.0
122 episode, score = 2.0
123 episode, score = 0.0
124 episode, score = 1.0
125 episode, score = 1.0
126 episode, score = 2.0
127 episode, score = 0.0
128 episode, score = 2.0
129 episode, score = 1.0
130 episode, score = 0.0
131 episode, score = 0.0
132 episode, score = 0.0
133 episode, score = 1.0
134 episode, score = 2.0
135 episode, score = 4.0
136 episode, score = 1.0
137 episode, score = 2.0
138 episode, score = 0.0
139 episode, score = 0.0
140 episode, score = 0.0
141 episode, score = 3.0
142 episode, score = 2.0
143 episode, score = 0.0
144 episode, score = 3.0
145 episode, score = 2.0
146 episode, score = 2.0
147 episode, score = 0.0
148 episode, score = 1.0
149 episode, score = 0.0
150 episode, score = 0.0
151 episode, score = 1.0
152 episode, score = 0.0
153 episode, score = 3.0
154 episode, score = 1.0
155 episode, score = 2.0
156 episode, score = 0.0
157 episode, score = 0.0
158 episode, score = 0.0
159 episode, score = 2.0
160 episode, score = 3.0
161 episode, score = 2.0
162 episode, score = 1.0
163 episode, score = 0.0
164 episode, score = 0.0
165 episode, score = 2.0
166 episode, score = 0.0
167 episode, score = 3.0
168 episode, score = 1.0
169 episode, score = 0.0
170 episode, score = 1.0
171 episode, score = 1.0
172 episode, score = 1.0
173 episode, score = 5.0
174 episode, score = 1.0
175 episode, score = 2.0
176 episode, score = 3.0
177 episode, score = 0.0
178 episode, score = 1.0
179 episode, score = 2.0
180 episode, score = 2.0
181 episode, score = 2.0
182 episode, score = 1.0
183 episode, score = 0.0
184 episode, score = 0.0
185 episode, score = 1.0
186 episode, score = 1.0
187 episode, score = 0.0
188 episode, score = 0.0
189 episode, score = 2.0
190 episode, score = 1.0
191 episode, score = 2.0
192 episode, score = 1.0
193 episode, score = 0.0
194 episode, score = 3.0
195 episode, score = 1.0
196 episode, score = 1.0
197 episode, score = 2.0
198 episode, score = 1.0
199 episode, score = 1.0
200 episode, score = 0.0
201 episode, score = 3.0
202 episode, score = 1.0
203 episode, score = 1.0
204 episode, score = 1.0
205 episode, score = 1.0
206 episode, score = 1.0
207 episode, score = 5.0
208 episode, score = 1.0
209 episode, score = 3.0
210 episode, score = 1.0
211 episode, score = 1.0
212 episode, score = 1.0
213 episode, score = 0.0
214 episode, score = 0.0
215 episode, score = 3.0
216 episode, score = 7.0
217 episode, score = 1.0
218 episode, score = 0.0
219 episode, score = 1.0
220 episode, score = 1.0
221 episode, score = 1.0
222 episode, score = 5.0
223 episode, score = 1.0
224 episode, score = 1.0
225 episode, score = 0.0
226 episode, score = 0.0
227 episode, score = 2.0
228 episode, score = 4.0
229 episode, score = 2.0
230 episode, score = 0.0
231 episode, score = 0.0
232 episode, score = 1.0
233 episode, score = 1.0
234 episode, score = 0.0
235 episode, score = 0.0
236 episode, score = 0.0
237 episode, score = 0.0
238 episode, score = 1.0
239 episode, score = 2.0
240 episode, score = 0.0
241 episode, score = 0.0
242 episode, score = 0.0
243 episode, score = 0.0
244 episode, score = 1.0
245 episode, score = 1.0
246 episode, score = 1.0
247 episode, score = 1.0
248 episode, score = 2.0
249 episode, score = 1.0
250 episode, score = 3.0
251 episode, score = 1.0
252 episode, score = 4.0
253 episode, score = 2.0
254 episode, score = 0.0
255 episode, score = 3.0
256 episode, score = 0.0
257 episode, score = 1.0
258 episode, score = 3.0
259 episode, score = 2.0
260 episode, score = 1.0
261 episode, score = 1.0
262 episode, score = 1.0
263 episode, score = 1.0
264 episode, score = 2.0
265 episode, score = 3.0
266 episode, score = 3.0
267 episode, score = 2.0
268 episode, score = 2.0
269 episode, score = 0.0
270 episode, score = 3.0
271 episode, score = 3.0
272 episode, score = 3.0
273 episode, score = 3.0
274 episode, score = 3.0
275 episode, score = 0.0
276 episode, score = 4.0
277 episode, score = 2.0
278 episode, score = 1.0
279 episode, score = 2.0
280 episode, score = 0.0
281 episode, score = 0.0
282 episode, score = 0.0
283 episode, score = 2.0
284 episode, score = 0.0
285 episode, score = 0.0
286 episode, score = 1.0
287 episode, score = 0.0
288 episode, score = 0.0
289 episode, score = 2.0
290 episode, score = 2.0
291 episode, score = 1.0
292 episode, score = 0.0
293 episode, score = 0.0
294 episode, score = 2.0
295 episode, score = 2.0
296 episode, score = 2.0
297 episode, score = 0.0
298 episode, score = 2.0
299 episode, score = 2.0
300 episode, score = 0.0
301 episode, score = 3.0
302 episode, score = 0.0
303 episode, score = 2.0
304 episode, score = 2.0
305 episode, score = 0.0
306 episode, score = 2.0
307 episode, score = 3.0
308 episode, score = 1.0
309 episode, score = 0.0
310 episode, score = 2.0
311 episode, score = 0.0
312 episode, score = 5.0
313 episode, score = 0.0
314 episode, score = 1.0
315 episode, score = 0.0
316 episode, score = 0.0
317 episode, score = 1.0
318 episode, score = 3.0
319 episode, score = 3.0
320 episode, score = 2.0
321 episode, score = 0.0
322 episode, score = 1.0
323 episode, score = 0.0
324 episode, score = 1.0
325 episode, score = 1.0
326 episode, score = 0.0
327 episode, score = 0.0
328 episode, score = 1.0
329 episode, score = 3.0
330 episode, score = 2.0
331 episode, score = 0.0
332 episode, score = 0.0
333 episode, score = 0.0
334 episode, score = 2.0
335 episode, score = 0.0
336 episode, score = 3.0
337 episode, score = 2.0
338 episode, score = 2.0
339 episode, score = 2.0
340 episode, score = 0.0
341 episode, score = 4.0
342 episode, score = 3.0
343 episode, score = 3.0
344 episode, score = 4.0
345 episode, score = 2.0
346 episode, score = 0.0
347 episode, score = 1.0
348 episode, score = 2.0
